iter	Passed	Remaining
0	149	148967
1	158	79042
2	167	55818
3	177	44086
4	186	37129
5	196	32508
6	206	29227
7	215	26723
8	224	24692
9	233	23090
10	241	21747
11	250	20613
12	258	19632
13	266	18796
14	275	18062
15	283	17422
16	292	16939
17	302	16478
18	310	16032
19	318	15619
20	327	15280
21	336	14962
22	345	14683
23	354	14420
24	364	14210
25	376	14086
26	396	14293
27	405	14085
28	414	13886
29	424	13719
30	432	13527
31	442	13377
32	450	13214
33	459	13068
34	468	12916
35	476	12769
36	485	12645
37	495	12531
38	505	12461
39	515	12373
40	525	12300
41	536	12247
42	547	12186
43	558	12141
44	568	12068
45	579	12016
46	590	11972
47	600	11904
48	610	11852
49	622	11822
50	634	11807
51	645	11759
52	653	11677
53	661	11597
54	671	11535
55	680	11477
56	690	11430
57	701	11398
58	712	11362
59	722	11317
60	732	11271
61	742	11237
62	752	11196
63	762	11152
64	772	11108
65	781	11058
66	790	11006
67	799	10958
68	808	10912
69	822	10923
70	830	10871
71	839	10821
72	847	10767
73	856	10718
74	864	10667
75	874	10627
76	883	10587
77	892	10544
78	901	10509
79	910	10471
80	919	10429
81	928	10391
82	936	10347
83	945	10311
84	955	10280
85	964	10248
86	974	10221
87	982	10185
88	992	10158
89	1003	10148
90	1014	10130
91	1024	10110
92	1034	10084
93	1044	10065
94	1054	10041
95	1064	10020
96	1074	10003
97	1084	9978
98	1094	9963
99	1104	9939
100	1113	9907
101	1122	9879
102	1131	9852
103	1140	9822
104	1149	9796
105	1158	9772
106	1168	9749
107	1178	9729
108	1186	9700
109	1195	9676
110	1204	9646
111	1213	9622
112	1222	9599
113	1231	9569
114	1240	9546
115	1249	9524
116	1258	9499
117	1267	9473
118	1276	9449
119	1286	9432
120	1295	9411
121	1304	9388
122	1314	9375
123	1325	9365
124	1338	9372
125	1348	9351
126	1357	9329
127	1366	9307
128	1375	9284
129	1384	9267
130	1394	9248
131	1403	9227
132	1412	9207
133	1421	9186
134	1430	9164
135	1438	9141
136	1447	9115
137	1456	9097
138	1465	9078
139	1474	9058
140	1484	9044
141	1494	9032
142	1504	9014
143	1513	8996
144	1521	8974
145	1530	8954
146	1539	8935
147	1548	8916
148	1558	8903
149	1567	8881
150	1576	8862
151	1585	8845
152	1595	8832
153	1606	8823
154	1616	8814
155	1626	8801
156	1637	8793
157	1648	8783
158	1659	8777
159	1670	8770
160	1680	8756
161	1690	8746
162	1701	8736
163	1711	8725
164	1721	8711
165	1731	8698
166	1740	8682
167	1751	8671
168	1761	8660
169	1772	8651
170	1782	8639
171	1792	8629
172	1805	8630
173	1816	8622
174	1831	8634
175	1843	8629
